,Unnamed: 0.1,Unnamed: 0,ID,"Last,First",Product Name,Price,January,February,March,April,May,June,July,August,September,October,November,December,Total_sales,Commision,Salary,FirstName,lastname,NewSalary
0,0,0,1,"Albertson, Kathy",Laptop,2000,3799,300,3400.0,1462.0,8492,16252,1847,1827.0,10383,9847,4949,12903,48826.0,2441.3,5441.3,Albertson, Kathy,5985.43
1,1,1,2,"Allenson, Carol",Camera,3000,3899,5037,6589.0,1235.0,10333,15782,1987,2324.0,14339,1993,6736,20023,60156.0,3007.8,6007.8,Allenson, Carol,6608.58
2,2,2,3,"Altman, Zoey",Computer,3000,4300,10600,5389.0,1475.0,9787,10382,1329,3497.0,4828,6347,7746,2397,52867.0,2643.3500000000004,5643.35,Altman, Zoey,6207.685
3,3,3,4,"Bittiman, William",Mobile,1000,1600,3726,4986.0,1964.0,6482,11193,1793,6325.0,8722,8543,3257,9567,48243.0,2412.15,5412.15,Bittiman, William,5953.365
4,4,4,5,"Brennan, Micheal",Calculator,500,8900,9639,3623.0,1369.0,9832,18930,1853,3496.0,8462,12664,8463,3456,63295.0,3164.75,6164.75,Brennan, Micheal,6781.225
5,5,5,6,"Allenson, Carol",Laptop,2000,6000,1239,3247.0,1006.0,3203,16429,1374,2732.0,4842,5688,990,7884,33363.0,1668.15,4668.15,Allenson, Carol,5134.964999999999
6,6,6,7,"Altman, Zoey",Camera,3000,7800,5490,5430.0,1614.0,8742,17349,1093,4598.0,8575,8524,4564,2346,50201.0,2510.05,5510.05,Altman, Zoey,6061.055
7,7,7,8,"David, Chloe",Computer,3000,9300,6281,2347.0,1964.0,7303,12937,1326,9743.0,8846,2578,8445,8655,57942.0,2897.1000000000004,5897.1,David, Chloe,6486.81
8,8,8,9,"Brennan, Micheal",Mobile,1000,4200,7531,8732.0,1646.0,8463,19374,1473,8623.0,5588,9646,9957,3457,63728.0,3186.4,6186.4,Brennan, Micheal,6805.04
9,9,9,10,"Albertson, Kathy",Calculator,500,1700,9018,2937.0,1643.0,10378,11273,1939,2345.0,10399,5573,3558,8856,47947.0,2397.35,5397.35,Albertson, Kathy,5937.085
10,10,10,11,"Flores, Tia",Laptop,2000,4290,6391,3513.0,1455.0,14932,14392,1266,3564.0,15003,3674,8946,9535,57566.0,2878.3,5878.3,Flores, Tia,6466.13
11,11,11,12,"Bittiman, William",Camera,3000,9050,4391,5413.0,1458.0,2732,12731,1503,3464.0,7452,5789,3357,2324,39481.0,1974.05,4974.05,Bittiman, William,5471.455
12,12,12,13,"Jameson, Robinson",Computer,3000,1600,600,7465.0,1364.0,5428,11283,1439,6753.0,6683,11266,857,7544,44316.0,2215.8,5215.8,Jameson, Robinson,5737.38
13,13,13,14,"Ferguson, Elizabeth",Mobile,1000,5300,15389,6515.0,1369.0,4853,19263,1983,7643.0,4028,15734,2246,8566,69598.0,3479.9,6479.9,Ferguson, Elizabeth,7127.889999999999
14,14,14,15,"Brennan, Micheal",Calculator,500,1900,4510,4651.0,1485.0,12983,16253,1734,9365.0,5909,7443,8578,3463,56112.0,2805.6000000000004,5805.6,Brennan, Micheal,6386.160000000001
15,15,15,16,"Allenson, Carol",Laptop,2000,8000,6020,6546.0,1974.0,3718,12232,1453,2849.0,8746,17443,9577,6534,64114.0,3205.7000000000003,6205.700000000001,Allenson, Carol,6826.27
16,16,16,17,"Altman, Zoey",Camera,3000,9500,3500,4685.0,1423.0,3734,19283,1003,2284.0,8826,2457,4674,8676,41936.0,2096.8,5096.8,Altman, Zoey,5606.4800000000005
17,17,17,18,"Davis, William",Computer,3000,2578,7438,4684.0,1328.0,5739,15200,1977,5839.0,4729,8434,8857,4352,51226.0,2561.3,5561.3,Davis, William,6117.43
18,18,18,19,"David, Chloe",Mobile,1000,16000,2319,1685.0,1452.0,12394,12320,1543,9536.0,4924,3568,9547,15887,73931.0,3696.55,6696.55,David, Chloe,7366.205
19,19,19,20,"Bittiman, William",Calculator,500,5800,9835,4615.0,1265.0,11394,12122,1983,7883.0,6874,9644,3734,5643,61796.0,3089.8,6089.8,Bittiman, William,6698.780000000001
20,20,20,21,"Albertson, Kathy",Laptop,2000,6000,7251,1864.0,1462.0,10347,13002,1753,9763.0,4754,7533,8764,8765,63502.0,3175.1000000000004,6175.1,Albertson, Kathy,6792.610000000001
21,21,21,22,"Counts, Elizabeth",Camera,3000,10000,3092,8616.0,1326.0,19465,18774,1002,8992.0,9595,8423,2567,3344,66827.0,3341.3500000000004,6341.35,Counts, Elizabeth,6975.485000000001
22,22,22,23,"Brennan, Micheal",Computer,3000,8150,6020,13531.0,1336.0,7839,17532,1635,5832.0,17955,2458,8746,8564,64111.0,3205.55,6205.55,Brennan, Micheal,6826.1050000000005
23,23,23,24,"Flores, Tia",Mobile,1000,1900,5027,1632.0,1253.0,9362,18506,1937,9462.0,5737,9587,3527,3458,47145.0,2357.25,5357.25,Flores, Tia,5892.975
24,24,24,25,"Jameson, Robinson",Calculator,500,5000,8192,6512.0,1256.0,4759,11047,1792,5472.0,5738,2445,9684,8654,53766.0,2688.3,5688.3,Jameson, Robinson,6257.13
